,amount,amount,no_of_donors,no_of_donors
63548.0,8527648.0,8527648.0,5,5.0
63594.0,7000000.0,7000000.0,2,2.0
66001.0,429839190.0,85967838.0,72,14.4
66045.0,7528162.0,3764081.0,2,1.0
66075.0,8000000.0,4000000.0,6,3.0
66088.0,6670000.0,6670000.0,10,10.0
66170.0,437650000.0,109412500.0,46,11.5
66318.0,10398128.0,2599532.0,5,1.25
66383.0,14673184.0,7336592.0,5,2.5
66400.0,57300000.0,14325000.0,4,1.0
66440.0,2500000.0,2500000.0,2,2.0
66456.0,13200000.0,13200000.0,4,4.0
66572.0,5500000.0,5500000.0,1,1.0
66594.0,16800000.0,4200000.0,4,1.0
66682.0,5050000.0,5050000.0,2,2.0
66687.0,35248568.0,11749522.666666666,37,12.333333333333334
68001.0,695000000.0,231666666.66666666,38,12.666666666666666
68077.0,30000000.0,30000000.0,3,3.0
68081.0,406717617.0,135572539.0,38,12.666666666666666
68092.0,10000000.0,10000000.0,6,6.0
68121.0,9712000.0,9712000.0,5,5.0
68147.0,8000000.0,8000000.0,2,2.0
68167.0,1850000.0,1850000.0,5,5.0
68169.0,1700000.0,1700000.0,1,1.0
68176.0,1400000.0,1400000.0,1,1.0
68179.0,9000000.0,9000000.0,2,2.0
68190.0,22099600.0,22099600.0,10,10.0
68211.0,4582000.0,2291000.0,5,2.5
68229.0,11990000.0,3996666.6666666665,3,1.0
68235.0,37538200.0,18769100.0,8,4.0
68245.0,13500000.0,13500000.0,2,2.0
68250.0,24300000.0,12150000.0,8,4.0
68255.0,15800000.0,15800000.0,5,5.0
68271.0,17000000.0,17000000.0,7,7.0
68276.0,136150000.0,34037500.0,12,3.0
68298.0,45045000.0,45045000.0,4,4.0
68307.0,208665500.0,52166375.0,18,4.5
68322.0,2000000.0,2000000.0,2,2.0
68324.0,22000000.0,22000000.0,4,4.0
68327.0,20000000.0,20000000.0,3,3.0
68370.0,825000.0,825000.0,1,1.0
68377.0,5000000.0,5000000.0,1,1.0
68385.0,17210000.0,17210000.0,5,5.0
68397.0,5500000.0,5500000.0,2,2.0
68418.0,5000000.0,2500000.0,2,1.0
68425.0,2000000.0,2000000.0,1,1.0
68432.0,3000000.0,3000000.0,1,1.0
68444.0,4000000.0,4000000.0,1,1.0
68464.0,20200000.0,20200000.0,4,4.0
68502.0,25000000.0,25000000.0,12,12.0
68524.0,4000000.0,4000000.0,1,1.0
68547.0,40000000.0,20000000.0,3,1.5
68549.0,10000000.0,10000000.0,1,1.0
68573.0,12500000.0,12500000.0,6,6.0
68575.0,24200000.0,24200000.0,5,5.0
68615.0,4000000.0,4000000.0,3,3.0
68655.0,35000000.0,35000000.0,2,2.0
68673.0,9000000.0,9000000.0,2,2.0
68679.0,57700000.0,28850000.0,9,4.5
68820.0,630000.0,630000.0,2,2.0
68855.0,15000000.0,15000000.0,1,1.0
68895.0,26500000.0,26500000.0,5,5.0
70001.0,462400000.0,231200000.0,26,13.0
70110.0,6000000.0,3000000.0,2,1.0
70204.0,10000000.0,10000000.0,2,2.0
70221.0,28543200.0,7135800.0,13,3.25
70233.0,23519018.0,11759509.0,10,5.0
70235.0,12000000.0,12000000.0,2,2.0
70265.0,1070000.0,1070000.0,1,1.0
70429.0,20700000.0,10350000.0,4,2.0
70473.0,5535710.0,5535710.0,1,1.0
70508.0,2000000.0,2000000.0,1,1.0
70670.0,32000000.0,16000000.0,6,3.0
70678.0,14000000.0,7000000.0,5,2.5
70702.0,10700000.0,10700000.0,1,1.0
70708.0,50000000.0,25000000.0,3,1.5
70713.0,45000000.0,22500000.0,8,4.0
70717.0,15090000.0,15090000.0,3,3.0
70820.0,5000000.0,5000000.0,1,1.0
73001.0,26489154.0,6622288.5,14,3.5
73026.0,16000000.0,16000000.0,3,3.0
73030.0,5785000.0,2892500.0,2,1.0
73043.0,7500000.0,3750000.0,2,1.0
73055.0,11000000.0,11000000.0,3,3.0
73124.0,13600000.0,4533333.333333333,7,2.3333333333333335
73148.0,6500000.0,3250000.0,2,1.0
73168.0,103688550.0,25922137.5,47,11.75
73200.0,500000.0,500000.0,1,1.0
73217.0,1400000.0,700000.0,2,1.0
73226.0,12482000.0,6241000.0,2,1.0
73236.0,2000000.0,2000000.0,1,1.0
73275.0,22000000.0,7333333.333333333,3,1.0
73283.0,7774659.0,3887329.5,2,1.0
73319.0,8000000.0,8000000.0,1,1.0
73349.0,21800000.0,10900000.0,6,3.0
73352.0,5000000.0,5000000.0,1,1.0
73408.0,4000000.0,2000000.0,2,1.0
73411.0,72800000.0,36400000.0,22,11.0
73443.0,12800000.0,6400000.0,2,1.0
73449.0,7000000.0,7000000.0,2,2.0
73461.0,13000000.0,6500000.0,3,1.5
73483.0,70600000.0,17650000.0,18,4.5
73504.0,10400000.0,5200000.0,3,1.5
73547.0,11000000.0,5500000.0,3,1.5
73555.0,20412600.0,5103150.0,8,2.0
73563.0,36100000.0,18050000.0,10,5.0
73585.0,8501000.0,4250500.0,5,2.5
73616.0,5000000.0,5000000.0,1,1.0
73671.0,54500000.0,18166666.666666668,12,4.0
73675.0,12443525.0,12443525.0,2,2.0
73678.0,6500000.0,3250000.0,2,1.0
73686.0,6500000.0,6500000.0,1,1.0
73770.0,10000000.0,10000000.0,2,2.0
73861.0,27608467.0,5521693.4,21,4.2
73870.0,40200000.0,40200000.0,11,11.0
76001.0,2102772469.0,300396067.0,117,16.714285714285715
76020.0,10000000.0,5000000.0,3,1.5
76041.0,4000000.0,4000000.0,1,1.0
76054.0,6308301.0,6308301.0,2,2.0
76100.0,11099700.0,11099700.0,11,11.0
76109.0,503500000.0,100700000.0,69,13.8
76111.0,45442207.0,11360551.75,9,2.25
76113.0,5000000.0,5000000.0,2,2.0
76122.0,43300000.0,14433333.333333334,8,2.6666666666666665
76126.0,5850000.0,2925000.0,2,1.0
76130.0,145000000.0,72500000.0,11,5.5
76147.0,86185666.0,28728555.333333332,19,6.333333333333333
76233.0,35000000.0,17500000.0,9,4.5
76243.0,3300000.0,3300000.0,5,5.0
76248.0,22500000.0,7500000.0,4,1.3333333333333333
76250.0,32828600.0,10942866.666666666,11,3.6666666666666665
76275.0,29939000.0,9979666.666666666,11,3.6666666666666665
76318.0,8976000.0,8976000.0,1,1.0
76364.0,177300000.0,35460000.0,12,2.4
76377.0,7200000.0,7200000.0,2,2.0
76400.0,12200000.0,6100000.0,4,2.0
76497.0,38000000.0,19000000.0,62,31.0
76520.0,156432601.0,52144200.333333336,15,5.0
76563.0,6500000.0,6500000.0,2,2.0
76606.0,11700000.0,11700000.0,3,3.0
76616.0,23000000.0,23000000.0,5,5.0
76622.0,3000000.0,3000000.0,1,1.0
76823.0,8000000.0,8000000.0,2,2.0
76828.0,105000000.0,105000000.0,10,10.0
76834.0,155712500.0,51904166.666666664,34,11.333333333333334
76845.0,12000000.0,12000000.0,1,1.0
76863.0,10526800.0,5263400.0,5,2.5
76869.0,10000000.0,10000000.0,2,2.0
76890.0,15000000.0,15000000.0,1,1.0
76892.0,38609900.0,12869966.666666666,9,3.0
76895.0,34610000.0,17305000.0,9,4.5
81001.0,400162000.0,133387333.33333333,45,15.0
81065.0,55200000.0,13800000.0,18,4.5
81220.0,28140000.0,9380000.0,9,3.0
81300.0,21500000.0,21500000.0,4,4.0
81591.0,19000000.0,19000000.0,7,7.0
81736.0,95000000.0,31666666.666666668,16,5.333333333333333
81794.0,71000000.0,23666666.666666668,10,3.3333333333333335
85001.0,285250000.0,71312500.0,53,13.25
85010.0,30240000.0,10080000.0,24,8.0
85125.0,69957500.0,17489375.0,25,6.25
85139.0,31392000.0,10464000.0,16,5.333333333333333
85225.0,55680000.0,27840000.0,43,21.5
85230.0,25000000.0,8333333.333333333,11,3.6666666666666665
85250.0,47950000.0,11987500.0,10,2.5
85263.0,49660000.0,16553333.333333334,27,9.0
85300.0,16060000.0,5353333.333333333,12,4.0
85315.0,1000000.0,1000000.0,1,1.0
85325.0,37000000.0,37000000.0,22,22.0
85400.0,8500000.0,4250000.0,12,6.0
85410.0,109695000.0,27423750.0,64,16.0
85430.0,8000000.0,4000000.0,2,1.0
85440.0,62055000.0,12411000.0,15,3.0
86001.0,49394906.0,16464968.666666666,6,2.0
86219.0,5000000.0,5000000.0,1,1.0
86320.0,31900000.0,15950000.0,10,5.0
86568.0,49508200.0,16502733.333333334,17,5.666666666666667
86569.0,6800000.0,3400000.0,4,2.0
86571.0,14800000.0,7400000.0,2,1.0
86573.0,90540000.0,30180000.0,11,3.6666666666666665
86749.0,6000000.0,3000000.0,2,1.0
86755.0,22500000.0,22500000.0,2,2.0
86757.0,3871200.0,1935600.0,2,1.0
86760.0,17150000.0,5716666.666666667,5,1.6666666666666667
86865.0,41629200.0,10407300.0,16,4.0
86885.0,10000000.0,5000000.0,3,1.5
88564.0,35000000.0,35000000.0,8,8.0
91001.0,95613085.0,23903271.25,12,3.0
94001.0,6509610.0,6509610.0,3,3.0
95001.0,24490400.0,8163466.666666667,9,3.0
95015.0,14000000.0,7000000.0,7,3.5
95200.0,10300000.0,5150000.0,3,1.5
97001.0,46000000.0,46000000.0,2,2.0
97161.0,15000000.0,15000000.0,1,1.0
97666.0,5000000.0,5000000.0,1,1.0
99001.0,34380000.0,11460000.0,18,6.0
99624.0,45400000.0,22700000.0,11,5.5
99773.0,10530000.0,10530000.0,2,2.0
